50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
1,3,2,Robbie Gould,Hou,8.0,K,10,0,0,2012
0,1,1,Dan Bailey,@Phi,8.0,K,10,5,5,2012
0,2,2,Lawrence Tynes,@Cin,7.0,K,10,1,1,2012
0,3,2,Ryan Succop,@Pit,7.0,K,10,1,1,2012
0,1,1,Mike Nugent,NYG,7.0,K,10,4,4,2012
0,1,1,Rian Lindell,@NE,7.0,K,10,4,4,2012
0,1,1,Garrett Hartley,Atl,7.0,K,10,4,4,2012
0,2,2,Shayne Graham,@Chi,7.0,K,10,1,1,2012
0,2,1,Greg Zuerlein,@SF,6.0,K,10,3,3,2012
0,1,1,Nick Novak,@TB,6.0,K,10,3,3,2012
0,0,0,Sam Koch,Oak,6.0,K,10,0,0,2012
0,1,1,Jason Hanson,@Min,6.0,K,10,3,3,2012
0,2,1,David Akers,Stl,6.0,K,10,3,3,2012
0,1,1,Alex Henery,Dal,5.0,K,10,3,2,2012
0,2,1,Josh Scobee,Ind,4.0,K,10,1,1,2012
0,0,0,Stephen Hauschka,NYJ,4.0,K,10,4,4,2012
0,1,1,Dan Carpenter,Ten,3.0,K,10,0,0,2012
0,1,0,Justin Medlock,Den,2.0,K,10,2,2,2012
0,0,0,Johnny Hekker,@SF,1.0,K,10,0,0,2012
0,0,0,Nick Folk,@Sea,1.0,K,10,1,1,2012
0,3,3,Josh Scobee,@Hou,13.0,K,11,4,4,2012
0,4,4,Rian Lindell,Mia,13.0,K,11,1,1,2012
0,5,3,Shayne Graham,Jax,13.0,K,11,4,4,2012
2,4,2,Nick Folk,@Stl,13.0,K,11,3,3,2012
0,4,4,Jay Feely,@Atl,13.0,K,11,1,1,2012
1,3,3,Matt Bryant,Ari,13.0,K,11,2,2,2012
0,4,3,Matt Prater,SD,12.0,K,11,3,3,2012
0,3,3,David Akers,Chi,12.0,K,11,3,3,2012
0,2,1,Stephen Gostkowski,Ind,11.0,K,11,8,8,2012
0,3,3,Dan Bailey,Cle,11.0,K,11,2,2,2012
1,2,2,Phil Dawson,@Dal,10.0,K,11,2,2,2012
1,2,2,Connor Barth,@Car,9.0,K,11,1,1,2012
0,1,1,Garrett Hartley,@Oak,8.0,K,11,5,5,2012
0,2,2,Jason Hanson,GB,8.0,K,11,2,2,2012
0,3,2,Justin Tucker,@Pit,7.0,K,11,1,1,2012
0,1,1,Kai Forbath,Phi,7.0,K,11,4,4,2012
0,2,1,Adam Vinatieri,@NE,6.0,K,11,3,3,2012
0,2,2,Ryan Succop,Cin,6.0,K,11,0,0,2012
0,2,2,Alex Henery,@Was,6.0,K,11,0,0,2012
0,3,1,Mason Crosby,@Det,6.0,K,11,3,3,2012
0,1,1,Sebastian Janikowski,NO,5.0,K,11,2,2,2012
0,1,1,Shaun Suisham,Bal,4.0,K,11,1,1,2012
0,1,0,Mike Nugent,@KC,4.0,K,11,4,4,2012
0,0,0,Nick Novak,@Den,3.0,K,11,3,3,2012
0,1,0,Justin Medlock,TB,3.0,K,11,3,3,2012
0,1,0,Dan Carpenter,@Buf,2.0,K,11,2,2,2012
0,0,0,Greg Zuerlein,NYJ,1.0,K,11,1,1,2012
0,0,0,Robbie Gould,@SF,1.0,K,11,1,1,2012
0,5,4,Rob Bironas,@Jax,13.0,K,12,1,1,2012
1,3,3,Dan Bailey,Was,13.0,K,12,2,2,2012
1,3,2,Mike Nugent,Oak,12.0,K,12,4,4,2012
0,4,3,Connor Barth,Atl,11.0,K,12,2,2,2012
0,3,3,Justin Tucker,@SD,10.0,K,12,1,1,2012
0,3,3,Alex Henery,Car,10.0,K,12,1,1,2012
0,3,2,Shayne Graham,@Det,10.0,K,12,4,4,2012
0,3,3,Ryan Succop,Den,9.0,K,12,0,0,2012
0,2,2,Adam Vinatieri,Buf,8.0,K,12,2,2,2012
0,1,1,Lawrence Tynes,GB,8.0,K,12,5,5,2012
0,3,2,Robbie Gould,Min,8.0,K,12,2,2,2012
0,1,1,Kai Forbath,@Dal,8.0,K,12,5,5,2012
0,2,2,Phil Dawson,Pit,8.0,K,12,2,2,2012
0,2,1,Greg Zuerlein,@Ari,7.0,K,12,4,4,2012
0,2,2,Nick Novak,Bal,7.0,K,12,1,1,2012
0,2,2,Rian Lindell,@Ind,7.0,K,12,1,1,2012
0,2,1,Jason Hanson,Hou,7.0,K,12,4,4,2012
0,1,0,Stephen Gostkowski,@NYJ,7.0,K,12,7,7,2012
0,3,1,David Akers,@NO,7.0,K,12,4,4,2012
0,1,1,Josh Scobee,Ten,6.0,K,12,3,3,2012
1,1,1,Sebastian Janikowski,@Cin,6.0,K,12,1,1,2012
0,1,1,Graham Gano,@Phi,6.0,K,12,4,3,2012
0,1,1,Dan Carpenter,Sea,6.0,K,12,3,3,2012
0,3,1,Matt Bryant,@TB,6.0,K,12,3,3,2012
0,3,1,Matt Prater,@KC,5.0,K,12,2,2,2012
0,1,1,Nick Folk,NE,5.0,K,12,2,2,2012
0,1,1,Jay Feely,Stl,5.0,K,12,2,2,2012
0,2,1,Blair Walsh,@Chi,4.0,K,12,1,1,2012
0,2,1,Mason Crosby,@NYG,4.0,K,12,1,1,2012
0,0,0,Stephen Hauschka,@Mia,3.0,K,12,3,3,2012
0,0,0,Garrett Hartley,SF,3.0,K,12,3,3,2012
0,0,0,Shaun Suisham,@Cle,2.0,K,12,2,2,2012
0,0,0,Adam Podlesh,Min,2.0,K,12,0,0,2012
1,4,4,Jason Hanson,Ind,17.0,K,13,3,3,2012
2,3,3,Connor Barth,@Den,15.0,K,13,2,2,2012
1,3,3,Matt Bryant,NO,13.0,K,13,2,2,2012
1,2,2,Rian Lindell,Jax,12.0,K,13,4,4,2012
0,3,3,Shaun Suisham,@Bal,11.0,K,13,2,2,2012
1,2,2,Ryan Succop,Car,11.0,K,13,3,3,2012
