,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
96,0,0,3,@Jax,165,3,26.00,DST,40,4.0,0,Indianapolis ColtsIndianapolis,205,1,4,2013
97,0,2,2,NYJ,239,13,26.00,DST,91,5.0,0,Tennessee TitansTennessee,330,1,4,2013
98,0,2,1,@Oak,194,14,23.00,DST,104,7.0,0,Washington RedskinsWashington,298,1,4,2013
99,0,2,1,NYG,200,7,22.00,DST,98,3.0,0,Kansas City ChiefsKansas City,298,1,4,2013
100,1,0,0,Phi,284,20,21.00,DST,166,3.0,0,Denver BroncosDenver,450,2,4,2013
101,0,1,2,@Hou,325,20,20.00,DST,151,4.0,0,Seattle SeahawksSeattle,476,1,4,2013
102,0,0,5,Bal,321,20,18.00,DST,24,4.0,0,Buffalo BillsBuffalo,345,0,4,2013
103,0,1,3,Chi,286,32,17.00,DST,131,3.0,0,Detroit LionsDetroit,417,1,4,2013
104,0,1,1,Cin,203,6,16.00,DST,63,2.0,0,Cleveland BrownsCleveland,266,0,4,2013
105,0,1,3,Mia,216,17,16.00,DST,115,4.0,0,New Orleans SaintsNew Orleans,331,0,4,2013
106,0,1,1,@Stl,170,11,16.00,DST,18,5.0,0,San Francisco 49ersSan Francisco,188,0,4,2013
107,0,1,2,@TB,173,10,15.00,DST,80,2.0,0,Arizona CardinalsArizona,253,0,4,2013
108,0,1,2,Ari,240,13,14.00,DST,56,1.0,0,Tampa Bay BuccaneersTampa Bay,296,0,4,2013
109,1,1,0,Was,217,24,12.00,DST,122,1.0,0,Oakland RaidersOakland,339,1,4,2013
110,0,1,1,Sea,91,23,10.00,DST,179,5.0,0,Houston TexansHouston,270,0,4,2013
111,0,1,1,Pit,357,27,10.00,DST,77,5.0,0,Minnesota VikingsMinnesota,434,0,4,2013
112,0,1,2,@Buf,147,23,9.00,DST,203,2.0,0,Baltimore RavensBaltimore,350,0,4,2013
113,1,0,0,@Cle,247,17,9.00,DST,89,3.0,0,Cincinnati BengalsCincinnati,336,0,4,2013
114,0,0,1,@SD,394,30,9.00,DST,112,1.0,0,Dallas CowboysDallas,506,1,4,2013
115,0,2,1,@Det,228,40,7.00,DST,159,1.0,0,Chicago BearsChicago,387,0,4,2013
116,0,1,2,@KC,288,31,7.00,DST,102,1.0,0,New York GiantsNY Giants,390,0,4,2013
117,0,1,0,Dal,227,21,6.00,DST,92,3.0,0,San Diego ChargersSan Diego,319,0,4,2013
118,0,2,0,SF,151,35,6.00,DST,219,2.0,0,St. Louis RamsSt. Louis,370,0,4,2013
119,0,0,1,@Atl,399,23,5.00,DST,58,2.0,0,New England PatriotsNew England,457,0,4,2013
120,0,0,1,Ind,280,37,4.00,DST,157,2.0,0,Jacksonville JaguarsJacksonville,437,0,4,2013
121,0,1,0,@NO,397,38,4.00,DST,68,2.0,0,Miami DolphinsMiami,465,0,4,2013
122,0,0,0,@Ten,244,38,2.00,DST,78,2.0,0,New York JetsNY Jets,322,0,4,2013
123,0,0,0,@Den,331,52,1.00,DST,141,1.0,0,Philadelphia EaglesPhiladelphia,472,0,4,2013
124,0,0,0,@Min,248,34,1.00,DST,145,1.0,0,Pittsburgh SteelersPittsburgh,393,0,4,2013
125,0,0,0,NE,316,30,0.00,DST,132,0.0,0,Atlanta FalconsAtlanta,448,0,4,2013
126,0,1,3,Car,258,6,27.00,DST,95,7.0,1,Arizona CardinalsArizona,353,0,5,2013
127,0,1,3,Hou,182,3,25.00,DST,131,1.0,0,San Francisco 49ersSan Francisco,313,1,5,2013
128,1,2,3,SD,391,17,24.00,DST,36,2.0,0,Oakland RaidersOakland,427,1,5,2013
129,0,0,1,Buf,188,24,19.00,DST,155,4.0,0,Cleveland BrownsCleveland,343,2,5,2013
130,0,1,2,@Ten,234,17,19.00,DST,105,3.0,0,Kansas City ChiefsKansas City,339,1,5,2013
131,0,1,1,NE,166,6,18.00,DST,82,4.0,0,Cincinnati BengalsCincinnati,248,0,5,2013
132,0,1,2,Jax,267,20,18.00,DST,96,2.0,0,St. Louis RamsSt. Louis,363,1,5,2013
133,0,1,1,@Cin,179,13,15.00,DST,162,4.0,0,New England PatriotsNew England,341,0,5,2013
