,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
177,177,0,0,1,49ers,250,24,6.0,DST,85,3.0,0,Redskins,335,0,6,2017
178,178,0,1,0,Eagles,209,28,5.0,DST,101,3.0,0,Panthers,310,0,6,2017
179,179,0,1,1,Vikings,239,23,5.0,DST,112,0.0,0,Packers,351,0,6,2017
180,180,0,1,1,Patriots,257,24,5.0,DST,118,0.0,0,Jets,375,0,6,2017
181,181,0,1,0,Colts,212,22,4.0,DST,85,1.0,0,Titans,297,0,6,2017
182,182,0,1,2,Panthers,185,3,33.0,DST,108,5.0,0,Bears,293,2,7,2017
183,183,0,2,1,Broncos,182,0,27.0,DST,69,5.0,0,Chargers,251,1,7,2017
184,184,0,0,0,Colts,136,0,20.0,DST,96,10.0,0,Jaguars,232,0,7,2017
185,185,0,3,0,49ers,187,10,18.0,DST,103,5.0,0,Cowboys,290,0,7,2017
186,186,0,0,2,Cardinals,171,0,17.0,DST,25,3.0,0,Rams,196,0,7,2017
187,187,0,0,3,Browns,218,9,15.0,DST,66,2.0,0,Titans,284,0,7,2017
188,188,0,0,2,Bengals,108,14,12.0,DST,71,4.0,0,Steelers,179,0,7,2017
189,189,0,1,0,Titans,189,12,11.0,DST,80,2.0,0,Browns,269,0,7,2017
190,190,1,0,0,Bears,85,17,10.0,DST,68,4.0,0,Panthers,153,0,7,2017
191,191,1,0,0,Falcons,223,7,10.0,DST,120,1.0,0,Patriots,343,0,7,2017
192,192,0,1,0,Giants,131,7,10.0,DST,46,1.0,0,Steelers,177,0,7,2017
193,193,0,0,0,Ravens,144,16,9.0,DST,64,5.0,0,Vikings,208,0,7,2017
194,194,0,2,1,Buccaneers,378,27,8.0,DST,69,1.0,0,Bills,447,0,7,2017
195,195,1,0,2,Saints,324,26,8.0,DST,161,1.0,0,Packers,485,0,7,2017
196,196,0,1,1,Jets,180,28,7.0,DST,92,3.0,0,Dolphins,272,0,7,2017
197,197,0,0,1,Packers,79,17,7.0,DST,181,1.0,0,Saints,260,0,7,2017
198,198,0,0,2,Dolphins,304,31,7.0,DST,53,3.0,0,Jets,357,0,7,2017
199,199,0,0,1,Redskins,269,24,7.0,DST,75,4.0,0,Eagles,344,0,7,2017
200,200,0,2,0,Jaguars,330,27,6.0,DST,188,1.0,0,Colts,518,0,7,2017
201,201,0,0,1,Eagles,244,34,5.0,DST,127,3.0,0,Redskins,371,0,7,2017
202,202,0,0,0,Chargers,162,21,4.0,DST,80,3.0,0,Broncos,242,0,7,2017
203,203,0,1,0,Steelers,321,24,4.0,DST,104,1.0,0,Giants,425,0,7,2017
204,204,0,0,1,Rams,228,33,3.0,DST,197,1.0,0,Cardinals,425,0,7,2017
205,205,0,0,0,Patriots,241,23,3.0,DST,162,2.0,0,Falcons,403,0,7,2017
206,206,0,0,1,Vikings,188,24,3.0,DST,169,0.0,0,Ravens,357,0,7,2017
207,207,0,1,0,Bills,261,30,3.0,DST,173,1.0,0,Buccaneers,434,0,7,2017
208,208,1,0,0,Raiders,417,31,2.0,DST,88,0.0,0,Chiefs,505,0,7,2017
209,209,0,0,0,Chiefs,331,30,1.0,DST,94,1.0,0,Raiders,425,0,7,2017
210,210,0,0,0,Steelers,268,29,0.0,DST,152,0.0,0,Bengals,420,0,7,2017
211,211,0,0,0,Cowboys,236,40,0.0,DST,265,0.0,0,49ers,501,0,7,2017
212,212,0,0,2,Dolphins,151,0,35.0,DST,45,3.0,0,Ravens,196,3,8,2017
213,213,0,2,3,Broncos,187,19,23.0,DST,177,3.0,0,Chiefs,364,1,8,2017
214,214,1,0,2,49ers,144,10,23.0,DST,94,4.0,0,Eagles,238,1,8,2017
215,215,1,2,1,Redskins,236,19,22.0,DST,49,4.0,0,Cowboys,285,1,8,2017
216,216,0,1,2,Buccaneers,194,3,19.0,DST,85,3.0,0,Panthers,279,0,8,2017
217,217,0,2,2,Raiders,313,14,18.0,DST,54,0.0,0,Bills,367,1,8,2017
218,218,0,0,3,Texans,367,38,17.0,DST,142,5.0,0,Steelers,509,1,8,2017
219,219,1,0,1,Colts,216,23,15.0,DST,115,4.0,0,Bengals,331,1,8,2017
220,220,1,0,1,Chargers,192,13,14.0,DST,157,1.0,1,Patriots,349,0,8,2017
221,221,0,2,0,Browns,161,16,11.0,DST,115,3.0,0,Vikings,276,0,8,2017
222,222,0,0,1,Bears,150,12,11.0,DST,157,2.0,0,Saints,307,0,8,2017
223,223,0,2,0,Saints,286,20,10.0,DST,101,2.0,0,Bears,387,0,8,2017
224,224,1,2,0,Bengals,218,24,10.0,DST,58,3.0,0,Colts,276,0,8,2017
225,225,0,1,0,Jets,236,20,9.0,DST,43,3.0,0,Falcons,279,0,8,2017
226,226,0,1,1,Steelers,317,20,8.0,DST,75,0.0,0,Lions,392,0,8,2017
227,227,0,1,0,Lions,411,15,8.0,DST,71,2.0,0,Steelers,482,0,8,2017
228,228,0,2,0,Falcons,246,25,6.0,DST,140,1.0,0,Jets,386,0,8,2017
229,229,0,0,1,Panthers,154,17,6.0,DST,100,0.0,0,Buccaneers,254,0,8,2017
230,230,1,0,1,Vikings,287,33,5.0,DST,88,1.0,0,Browns,375,0,8,2017
231,231,0,1,1,Chiefs,197,29,5.0,DST,79,1.0,0,Broncos,276,0,8,2017
232,232,0,0,1,Eagles,192,33,5.0,DST,112,3.0,0,49ers,304,0,8,2017
233,233,0,0,1,Steelers,446,41,4.0,DST,33,2.0,0,Texans,479,0,8,2017
234,234,0,0,0,Patriots,317,21,4.0,DST,97,3.0,0,Chargers,414,0,8,2017
235,235,0,1,0,Cowboys,138,33,4.0,DST,169,2.0,0,Redskins,307,0,8,2017
236,236,1,0,0,Ravens,121,40,2.0,DST,174,0.0,0,Dolphins,295,0,8,2017
237,237,0,0,0,Bills,165,34,0.0,DST,166,0.0,0,Raiders,331,0,8,2017
238,238,1,1,0,Buccaneers,113,10,21.0,DST,87,4.0,0,Saints,200,1,9,2017
239,239,0,1,1,49ers,266,10,16.0,DST,63,5.0,0,Cardinals,329,0,9,2017
240,240,0,1,0,Colts,279,20,15.0,DST,92,3.0,0,Texans,371,1,9,2017
241,241,0,0,0,Bengals,119,7,15.0,DST,29,2.0,0,Jaguars,148,1,9,2017
242,242,1,2,1,Giants,208,17,14.0,DST,111,2.0,0,Rams,319,0,9,2017
243,243,0,3,0,Bills,244,21,14.0,DST,63,7.0,0,Jets,307,0,9,2017
244,244,0,1,0,Redskins,193,17,14.0,DST,51,6.0,1,Steelers,244,0,9,2017
245,245,0,1,0,Eagles,222,51,10.0,DST,197,2.0,0,Broncos,419,1,9,2017
246,246,0,0,2,Ravens,268,20,10.0,DST,73,2.0,0,Titans,341,0,9,2017
247,247,0,0,2,Steelers,289,14,10.0,DST,148,2.0,0,Redskins,437,0,9,2017
248,248,0,2,0,Panthers,129,20,9.0,DST,201,1.0,0,Falcons,330,0,9,2017
249,249,1,0,0,Packers,233,17,9.0,DST,78,3.0,0,Lions,311,0,9,2017
250,250,0,0,1,Falcons,302,17,8.0,DST,53,2.0,0,Panthers,355,0,9,2017
251,251,0,0,1,Chiefs,255,17,8.0,DST,68,2.0,0,Cowboys,323,0,9,2017
252,252,0,1,0,Texans,194,14,8.0,DST,94,2.0,0,Colts,288,0,9,2017
253,253,0,0,2,Broncos,191,23,8.0,DST,35,3.0,0,Eagles,226,0,9,2017
254,254,0,1,1,Cardinals,201,20,8.0,DST,167,0.0,0,49ers,368,0,9,2017
255,255,1,2,0,Saints,256,30,7.0,DST,151,1.0,0,Buccaneers,407,0,9,2017
256,256,0,0,1,Titans,186,23,6.0,DST,71,3.0,0,Ravens,257,0,9,2017
257,257,0,1,1,Raiders,295,27,6.0,DST,84,1.0,0,Dolphins,379,0,9,2017
258,258,0,1,0,Dolphins,309,24,4.0,DST,86,1.0,0,Raiders,395,0,9,2017
259,259,0,1,0,Jaguars,259,23,3.0,DST,149,0.0,0,Bengals,408,0,9,2017
260,260,0,1,0,Lions,353,30,3.0,DST,64,1.0,0,Packers,417,0,9,2017
261,261,0,0,0,Jets,137,34,1.0,DST,194,1.0,0,Bills,331,0,9,2017
262,262,0,0,0,Cowboys,244,28,1.0,DST,131,1.0,0,Chiefs,375,0,9,2017
263,263,0,0,0,Rams,311,51,0.0,DST,162,0.0,0,Giants,473,0,9,2017
264,264,0,2,0,Cowboys,126,7,19.0,DST,107,8.0,0,Falcons,233,0,10,2017
265,265,0,2,2,Texans,194,7,18.0,DST,89,3.0,0,Rams,283,0,10,2017
266,266,0,1,1,Jets,219,10,17.0,DST,56,6.0,0,Buccaneers,275,0,10,2017
267,267,1,1,1,Broncos,221,16,16.0,DST,118,0.0,0,Patriots,339,1,10,2017
268,268,0,1,1,Browns,212,24,15.0,DST,201,4.0,0,Lions,413,1,10,2017
269,269,1,0,2,Jaguars,263,20,13.0,DST,135,3.0,0,Chargers,398,0,10,2017
270,270,1,1,0,Cardinals,256,16,12.0,DST,34,2.0,1,Steelers,290,0,10,2017
