Year,Week,Name,50+,FGA,FGM,Opponent,Points,Position,XPA,XPM,Away Games
2013,5,Caleb Sturgis,0,4,3,Ravens,11.0,K,2,2,0
2013,5,Sebastian Janikowski,1,2,2,Chargers,11.0,K,3,3,0
2013,5,Greg Zuerlein,0,2,2,Jaguars,10.0,K,4,4,0
2013,5,Jay Feely,1,2,2,Panthers,10.0,K,2,2,0
2013,5,Phil Dawson,0,2,2,Texans,10.0,K,4,4,0
2013,5,Dan Bailey,0,2,2,Broncos,10.0,K,4,4,0
2013,5,Mike Nugent,1,2,2,Patriots,9.0,K,1,1,0
2013,5,Adam Vinatieri,0,2,2,Seahawks,8.0,K,2,2,0
2013,5,Josh Scobee,0,2,2,Rams,8.0,K,2,2,1
2013,5,Graham Gano,1,2,2,Cardinals,8.0,K,0,0,1
2013,5,Dan Carpenter,1,1,1,Browns,8.0,K,3,3,1
2013,5,Stephen Gostkowski,0,2,2,Bengals,6.0,K,0,0,1
2013,5,Nick Novak,0,2,1,Raiders,5.0,K,2,2,1
2013,5,Rob Bironas,0,2,1,Chiefs,5.0,K,2,2,0
2013,5,David Akers,1,1,1,Packers,5.0,K,0,0,1
2013,5,Robbie Gould,0,1,1,Saints,4.0,K,1,1,0
2013,5,Matt Bryant,0,0,0,Jets,4.0,K,4,4,0
2013,5,Randy Bullock,0,2,1,49ers,3.0,K,0,0,1
2013,5,Josh Brown,0,0,0,Eagles,3.0,K,3,3,0
2013,6,Nick Novak,1,4,4,Colts,15.0,K,1,1,0
2013,6,Mason Crosby,1,5,4,Ravens,15.0,K,1,1,1
2013,6,Stephen Gostkowski,1,3,3,Saints,14.0,K,3,3,0
2013,6,Adam Vinatieri,2,3,3,Chargers,13.0,K,0,0,1
2013,6,Shaun Suisham,0,4,4,Jets,13.0,K,1,1,1
2013,6,Phil Dawson,0,3,3,Cardinals,12.0,K,3,3,0
2013,6,Robbie Gould,1,2,2,Giants,11.0,K,3,3,0
2013,6,Kai Forbath,0,4,3,Cowboys,10.0,K,1,1,1
2013,6,Josh Scobee,1,2,2,Broncos,9.0,K,1,1,1
2013,6,Mike Nugent,0,3,2,Bills,9.0,K,3,3,1
2013,6,Garrett Hartley,0,2,2,Patriots,9.0,K,3,3,1
2013,6,David Akers,1,1,1,Browns,9.0,K,4,4,1
2013,6,Greg Zuerlein,0,1,1,Texans,8.0,K,5,5,1
2013,6,Rian Lindell,0,2,2,Eagles,8.0,K,2,2,0
2013,6,Stephen Hauschka,0,2,2,Titans,8.0,K,2,2,0
2013,6,Dan Carpenter,1,1,1,Bengals,8.0,K,3,3,0
2013,6,Alex Henery,0,1,1,Buccaneers,7.0,K,4,4,1
2013,6,Randy Bullock,0,2,2,Rams,7.0,K,1,1,0
2013,6,Rob Bironas,0,2,2,Seahawks,7.0,K,1,1,1
2013,6,Dan Bailey,0,1,1,Redskins,7.0,K,4,4,0
2013,6,Ryan Succop,0,1,1,Raiders,6.0,K,3,3,0
2013,6,Nick Folk,0,2,2,Steelers,6.0,K,0,0,0
2013,6,Justin Tucker,0,1,1,Packers,5.0,K,2,2,0
2013,6,Matt Prater,0,0,0,Jaguars,5.0,K,5,5,0
2013,6,Graham Gano,0,0,0,Min,5.0,K,5,5,1
2013,6,Billy Cundiff,0,1,1,Lions,5.0,K,2,2,0
2013,6,Blair Walsh,0,1,1,Panthers,4.0,K,1,1,0
2013,6,Josh Brown,0,0,0,Bears,3.0,K,3,3,1
2013,6,Jay Feely,0,0,0,49ers,2.0,K,2,2,1
2013,6,Sebastian Janikowski,0,1,0,Chiefs,1.0,K,1,1,1
2013,6,Brett Kern,0,0,0,Seahawks,0.0,K,0,0,1
2013,6,Bryan Anger,0,0,0,Broncos,0.0,K,0,0,1
2013,7,Adam Vinatieri,1,3,3,Broncos,15.0,K,4,4,0
2013,7,Graham Gano,1,3,3,Rams,14.0,K,3,3,0
2013,7,Shaun Suisham,0,4,4,Ravens,13.0,K,1,1,0
2013,7,Stephen Hauschka,1,2,2,Cardinals,12.0,K,4,4,1
2013,7,Nick Folk,0,3,3,Patriots,12.0,K,3,3,0
2013,7,Jay Feely,1,3,3,Seahawks,12.0,K,1,1,0
2013,7,Mike Nugent,1,3,2,Lions,11.0,K,3,3,1
